id,question
013000834, Is the soil at the upper left more moist than the soil at the lower right?
013000834, Are there any other objects in the shadow?
013000834, Is the shadow cast by a single object or multiple objects?
013000834, Is the shadow cast by a natural or man-made object?
013000834, Is the shadow cast by a stationary or moving object?
013000834, Is the shadow cast by an object that is close or far away?
013000834, Is the shadow cast by an object that is large or small?
013000834, Is the shadow cast by an object that is light or dark?
013000834, Is the shadow cast by an object that is solid or transparent?
013000834, Is the shadow cast by an object that is opaque or translucent?
013000834, Is the shadow cast by an object that is stationary or dynamic?
013000835,What type of rocks are in the center of the landscape?
013000835,How many rocks are there?
013000835,What type of soil is on the left?
013000835,What type of grass is on the right?
013000835,How large is the shadow at the upper left?
013000835,How many trees are at the bottom right?
013000835,What type of trees are at the bottom right?
013000835,Is the soil on the left dry or moist?
013000835,Is the grass on the right short or tall?
013000835, Are the rocks in the center of the landscape large or small?
013000835, Are the trees at the bottom right deciduous or evergreen?
013000835, Is the landscape flat or hilly?
013000835," Are there any other features in the landscape besides rocks, soil, grass, and trees?"
013000835, Are there any other shadows in the landscape besides the one at the upper left?
013000835," Are there any other colors in the landscape besides green, brown, and gray?"
013000835," Are there any other shapes in the landscape besides the rocks, trees, and grass?"
013000835, Is the landscape in the image man-made or natural?
013000835, Are there any other plants in the landscape besides grass and trees?
013000835, Are there any other structures in the landscape besides rocks?
013000835, Are there any other animals in the landscape besides birds?
013000841,What is the size of the asphalted area?
013000841,How many rocks are in the center?
013000841,What is the shape of the asphalted area?
013000841,Are there any other objects in the area?
013000841,What is the color of the rocks?
013000841,Is the asphalted area flat or sloped?
013000841,Are there any other features in the area?
013000841,Are there any trees or plants in the area?
013000841,Is the asphalted area surrounded by any other structures?
013000841, Are there any other colors in the area besides the asphalt and rocks?
013000841, Are there any other shapes in the area besides the asphalt and rocks?
013000841, Are there any other materials in the area besides the asphalt and rocks?
013000841, Are there any other objects in the area besides the asphalt and rocks?
013000841, Are there any other features in the area besides the asphalt and rocks?
013000841, Are there any other structures in the area besides the asphalt and rocks?
013000841, Are there any other colors in the area besides the asphalt and rocks?
013000841, Are there any other shapes in the area besides the asphalt and rocks?
013000841, Are there any other materials in the area besides the asphalt and rocks?
013000841, Are there any other objects in the area besides the asphalt and rocks?
013000841, Are there any other features in the area besides the asphalt and rocks?
013000842,How many rocks are in the asphalted area?
013000842,What is the size of the asphalted area?
013000842,Are there any other objects in the asphalted area besides rocks?
013000842,Are the rocks evenly spaced?
013000842,Are the rocks of a similar size?
013000842,Are there any other colors in the asphalted area besides black?
013000842,Are there any other shapes in the asphalted area besides round?
013000842,Are there any other materials in the asphalted area besides asphalt?
013000842,Are there any other structures in the asphalted area besides rocks?
013000842, Are there any other features in the asphalted area besides rocks?
013000842, Are there any other objects in the asphalted area besides rocks?
013000842, Are there any other patterns in the asphalted area besides the rocks?
013000842, Are there any other textures in the asphalted area besides asphalt?
013000842, Are there any other lines in the asphalted area besides the edges of the asphalt?
013000842, Are there any other shadows in the asphalted area besides those cast by the rocks?
013000842, Are there any other shapes in the asphalted area besides the rocks?
013000842, Are there any other objects in the asphalted area besides the rocks?
013000842, Are there any other colors in the asphalted area besides black?
013000842, Are there any other materials in the asphalted area besides asphalt?
013000842, Are there any other structures in the asphalted area besides rocks?
013000843,What is the size of the rocks?
013000843,How many rocks are there?
013000843,Are the rocks of the same size?
013000843,What is the color of the asphalt?
013000843,Is the soil loose or compacted?
013000843,Is the soil evenly distributed?
013000843,Are there any other objects in the image?
013000843,Are there any other colors in the image?
013000843,Is the asphalt cracked or smooth?
013000843, Is the asphalt flat or sloped?
013000843, Are there any shadows in the image?
013000843, Are there any other materials in the image?
013000843, Are there any other shapes in the image?
013000843, Is the soil dry or wet?
013000843, Are there any plants in the image?
013000843, Are there any other textures in the image?
013000843, Are there any other structures in the image?
013000843, Are there any other objects in the image?
013000843, Is the soil light or dark?
013000843, Are there any other colors in the soil?
013000844,What is the size of the rocks?
013000844,How many rocks are there?
013000844,Are the rocks evenly spaced?
013000844,Are the rocks in a line or scattered?
013000844,What is the color of the rocks?
013000844,Are there any other objects near the rocks?
013000844,Are the rocks on the asphalt or soil?
013000844,Are the rocks in a group or separate?
013000844,Are the rocks in a pattern?
013000844, What is the shape of the rocks?
013000844, Are there any other objects in the image?
013000844, Is the soil around the rocks disturbed?
013000844, Are the rocks smooth or rough?
013000844, Are the rocks large or small?
013000844, Are the rocks the same size?
013000844, Are the rocks in a circle or a line?
013000844, Are the rocks in a pile or spread out?
013000844, Are the rocks in a straight line or curved?
013000844, Are there any other colors in the image?
013000844, Are the rocks close together or far apart?
013000845,What is the size of the asphalted area?
013000845,Are there any other objects in the area besides the rocks?
013000845,How many rocks are there?
013000845,Are the rocks evenly distributed?
013000845,Are there any other features in the area besides the asphalted area and the rocks?
013000845,Are there any trees or other vegetation in the area?
013000845,Are there any other structures in the area?
013000845,Is the asphalted area flat or sloped?
013000845,Are there any other colors in the area besides the asphalted area?
013000845, Are there any other shapes in the area besides the rocks?
013000845, Are there any shadows in the area?
013000845, Are there any other materials in the area besides asphalt?
013000845, Are there any other objects in the area besides the rocks?
013000845, Are there any other lines in the area besides the asphalted area?
013000845, Are there any other textures in the area besides the asphalt?
013000845, Are there any other patterns in the area besides the rocks?
013000845, Are there any other shapes in the area besides the rocks?
013000845, Are there any other objects in the area besides the rocks and the asphalted area?
013000845, Are there any other colors in the area besides the rocks?
013000845, Are there any other materials in the area besides the asphalt and the rocks?
013000846,What is the size of the asphalted area?
013000846,What is the shape of the asphalted area?
013000846,Are there any trees in the landscape?
013000846,Are there any buildings in the landscape?
013000846,Are there any roads in the landscape?
013000846,Are there any rivers or streams in the landscape?
013000846,Are there any other features in the landscape?
013000846,What is the color of the soil?
013000846,What is the texture of the soil?
013000846, What is the color of the asphalted area?
013000846, What is the texture of the asphalted area?
013000846, Is the asphalted area flat or sloped?
013000846, Is the soil flat or sloped?
013000846, Are there any visible boundaries between the soil and the asphalted area?
013000846, Are there any visible signs of erosion in the landscape?
013000846, Are there any visible signs of human activity in the landscape?
013000846, Are there any visible signs of animal activity in the landscape?
013000846, Are there any visible signs of plant growth in the landscape?
013000846, Are there any visible signs of water in the landscape?
013000846, Are there any visible signs of pollution in the landscape?
013000847,What color is the soil?
013000847,Is the soil dry or moist?
013000847,Are there any rocks visible in the soil?
013000847,Are there any plants growing in the soil?
013000847,Is the soil flat or uneven?
013000847,Are there any shadows cast on the soil?
013000847,Is the soil in a single patch or multiple patches?
013000847,Are there any other objects visible in the image?
013000847,Is the soil in a single layer or multiple layers?
013000847, Are there any visible signs of erosion?
013000847, Are there any visible signs of animal activity?
013000847, Are there any visible signs of human activity?
013000847, Is the soil in a single color or multiple colors?
013000847, Are there any visible signs of water runoff?
013000847, Are there any visible signs of wind erosion?
013000847, Are there any visible signs of chemical contamination?
013000847, Are there any visible signs of soil compaction?
013000847, Are there any visible signs of soil degradation?
013000847, Are there any visible signs of soil fertility?
013000847, Are there any visible signs of soil salinity?
013000848,What type of vegetation is growing in the field?
013000848,Is the field irrigated?
013000848,Are there any visible pathways or roads in the field?
013000848,Are there any buildings or structures in the field?
013000848,Is the soil in the field sandy or clay-like?
013000848,Are there any visible signs of erosion in the field?
013000848,Are there any visible signs of human activity in the field?
013000848,Are there any visible signs of animal activity in the field?
013000848,Are there any visible signs of water runoff in the field?
013000848, Are there any visible signs of water accumulation in the field?
013000848, Are there any visible signs of soil compaction in the field?
013000848, Are there any visible signs of soil disturbance in the field?
013000848, Are there any visible signs of soil fertility in the field?
013000848, Are there any visible signs of soil degradation in the field?
013000848, Are there any visible signs of soil contamination in the field?
013000848, Are there any visible signs of soil erosion in the field?
013000848, Are there any visible signs of soil compaction in the field?
013000848, Are there any visible signs of soil salinization in the field?
013000848, Are there any visible signs of soil compaction in the field?
013000848, Are there any visible signs of soil compaction in the field?
013000849,What is the size of the field?
013000849,What is the shape of the field?
013000849,Are there any trees or other vegetation in the field?
013000849,Are there any structures in the field?
013000849,Are there any roads or pathways leading to the field?
013000849,Are there any other fields nearby?
013000849,Is the soil in the field dry or wet?
013000849,Are there any signs of erosion in the field?
013000849,Are there any signs of cultivation in the field?
013000849, Are there any signs of human activity in the field?
013000849, Are there any animals in the field?
013000849, Are there any signs of water in the field?
013000849, Are there any signs of pollution in the field?
013000849, Are there any signs of construction in the field?
013000849, Are there any signs of mining in the field?
013000849, Are there any signs of deforestation in the field?
013000849, Are there any signs of agricultural activity in the field?
013000849, Are there any signs of urbanization in the field?
013000849, Are there any signs of industrial activity in the field?
013000849, Are there any signs of contamination in the field?
013000850,What type of trees are in the landscape?
013000850,How many trees are in the landscape?
013000850,What is the approximate size of the landscape?
013000850,Are there any other features in the landscape besides trees?
013000850,Are there any roads or paths in the landscape?
013000850,Are there any buildings or structures in the landscape?
013000850,Are there any bodies of water in the landscape?
013000850,Are there any other types of vegetation in the landscape?
013000850,Are there any signs of human activity in the landscape?
013000850, Are there any signs of animal activity in the landscape?
013000850, What is the approximate elevation of the landscape?
013000850, Are there any hills or mountains in the landscape?
013000850, Are there any visible boundaries or borders in the landscape?
013000850, Are there any visible signs of erosion in the landscape?
013000850, Are there any visible signs of deforestation in the landscape?
013000850, Are there any visible signs of reforestation in the landscape?
013000850, Are there any visible signs of urbanization in the landscape?
013000850, Are there any visible signs of agricultural activity in the landscape?
013000850, Are there any visible signs of industrial activity in the landscape?
013000850, Are there any visible signs of pollution in the landscape?
013000851,What is the size of the rocks on the right?
013000851,How many rocks are on the bottom left?
013000851,What is the color of the soil on the ground?
013000851,Is the gravel on the top right evenly distributed?
013000851,"Are there any other objects in the image besides soil, rocks, and gravel?"
013000851,What is the texture of the soil on the right?
013000851,Is the soil on the ground flat or uneven?
013000851,Are there any plants in the image?
013000851,What is the size of the gravel on the top right?
013000851, Are there any shadows in the image?
013000851, How many different colors are present in the image?
013000851," Are there any other elements in the image besides soil, rocks, and gravel?"
013000851, Is the soil on the right dry or wet?
013000851," Are there any other objects in the image besides soil, rocks, and gravel?"
013000851, What is the shape of the rocks on the right?
013000851," Are there any other elements in the image besides soil, rocks, and gravel?"
013000851, Is the gravel on the top right loose or compacted?
013000851," Are there any other objects in the image besides soil, rocks, and gravel?"
013000851, What is the texture of the gravel on the top right?
013000851," Are there any other elements in the image besides soil, rocks, and gravel?"
013000852,What is the size of the gravel?
013000852,How many rocks are visible?
013000852,Is the gravel evenly distributed?
013000852,Are there any other objects in the image?
013000852,What is the color of the soil?
013000852,Is the soil dry or wet?
013000852,Are there any other materials mixed in with the gravel?
013000852,Is the gravel in a single layer or multiple layers?
013000852,Are there any other colors in the image?
013000852, Are there any other shapes in the image?
013000852, Are there any other textures in the image?
013000852, Are there any other objects in the image?
013000852, What is the size of the rocks?
013000852, Are the rocks in a single layer or multiple layers?
013000852, Are there any other materials mixed in with the rocks?
013000852, Are there any other colors in the image?
013000852, Are there any other shapes in the image?
013000852, Are there any other textures in the image?
013000852, Are there any other objects in the image?
013000852, Are there any other materials mixed in with the soil?
013000853,What is the size of the rocks?
013000853,What is the color of the rocks?
013000853,Are there any other objects in the image besides rocks and gravel?
013000853,Are the rocks and gravel arranged in any particular pattern?
013000853,Is there any vegetation in the image?
013000853,Are there any other features in the image besides rocks and gravel?
013000853,Are there any shadows in the image?
013000853,Are there any other colors in the image besides the rocks and gravel?
013000853,Are there any man-made structures in the image?
013000853, Are there any water features in the image?
013000853, Are there any animals in the image?
013000853, Are there any roads in the image?
013000853, Are there any buildings in the image?
013000853, Are there any other geological features in the image?
013000853, Are there any clouds in the image?
013000853, Are there any trees in the image?
013000853, Are there any other landforms in the image?
013000853, Are there any bodies of water in the image?
013000853, Are there any signs of human activity in the image?
013000853, Are there any other features in the image that are not rocks or gravel?
013000854,How many rocks are in the rocky area?
013000854,How large is the field of soil?
013000854,Is the gravel evenly distributed across the left side?
013000854,Are there any other features in the area besides the rocky area and the field of soil?
013000854,How far away is the rocky area from the field of soil?
013000854,Are there any trees or other vegetation in the area?
013000854,Are there any other structures in the area?
013000854,Is the rocky area flat or hilly?
013000854,Are there any roads or pathways in the area?
013000854, Are there any bodies of water in the area?
013000854, Is the soil in the field of soil sandy or clay-like?
013000854, Are there any buildings in the area?
013000854, Are there any other types of rocks in the rocky area?
013000854, Is the gravel in the left side of the image large or small?
013000854, Are there any other colors in the area besides the rocky area and the field of soil?
013000854, Are there any animals in the area?
013000854, Are there any shadows in the area?
013000854, Are there any fences or walls in the area?
013000854, Are there any signs of human activity in the area?
013000854, Are there any other features in the area that are not visible in the image?
013000855,What is the texture of the soil?
013000855,How many shadows are cast on the soil?
013000855,What is the shape of the shadows?
013000855,Are there any objects in the shadows?
013000855,What is the color of the soil?
013000855,Are there any other colors in the image?
013000855,Are there any patterns in the shadows?
013000855,Are there any other features in the image?
013000855,What is the size of the shadows?
013000855, Are there any other shapes in the image?
013000855, Are there any other objects in the image?
013000855, Are there any other shadows in the image?
013000855, What is the direction of the shadows?
013000855, Are there any other colors in the shadows?
013000855, Are there any other textures in the image?
013000855, Are there any other shapes in the shadows?
013000855, Are there any other objects in the shadows?
013000855, Are there any other patterns in the image?
013000855, Are there any other features in the shadows?
013000855, What is the size of the soil?
013000856,How many trees are in the field on the left?
013000856,How many trees are in the field on the right?
013000856,How far apart are the trees in the field on the left?
013000856,How far apart are the trees in the field on the right?
013000856,What type of trees are in the field on the left?
013000856,What type of trees are in the field on the right?
013000856,How tall are the trees in the field on the left?
013000856,How tall are the trees in the field on the right?
013000856,What is the size of the field on the left?
013000856, What is the size of the field on the right?
013000856, What is the shape of the field on the left?
